EntryID,LemmaID,Code,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,RepeatedMovement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0
knock_off,knock_off,H_03_035,imrp,FullyOpen,0.0,0.0,0.0,Open,0.0,OneHanded,Curved,0,Neutral,Neutral,Neutral,0,,1
role,role,H_03_036,im,Crossed,0.0,0.0,0.0,Closed,0.0,AsymmetricalDifferentHandshape,Circular,0,Hand,HandAway,Palm,1,B,1
barely,barely,H_03_037,i,Curved,0.0,,,Open,1.0,OneHanded,Straight,0,Head,HeadTop,HeadAway,1,,0
eye_turn,eye_turn,H_03_039,i,Curved,0.0,,,Open,1.0,SymmetricalOrAlternating,Straight,0,Head,HeadAway,HeadAway,0,f,0
jewelry,jewelry,H_03_040,imrp,FullyOpen,1.0,1.0,0.0,Closed,0.0,SymmetricalOrAlternating,Curved,1,Body,TorsoTop,Shoulder,1,4,0
one_more_1,one_more_1,H_03_041,i,FullyOpen,1.0,,,Open,1.0,AsymmetricalDifferentHandshape,,1,Hand,FingerTip,,1,O,0
surgery,surgery,H_03_046,t,,,,,Open,,AsymmetricalDifferentHandshape,Straight,0,Hand,Palm,Heel,1,B,0
upset_2,upset_2,H_03_047,im,Stacked,0.0,,0.0,Open,1.0,OneHanded,Curved,0,Body,TorsoMid,TorsoMid,1,,1
capture,capture,H_03_048,imrp,Curved,1.0,1.0,0.0,Open,1.0,AsymmetricalDifferentHandshape,Straight,0,Hand,HandAway,FingerRadial,1,C,0
navy,navy,H_03_049,imrp,Flat,1.0,0.0,0.0,Open,1.0,SymmetricalOrAlternating,Straight,1,Body,BodyAway,BodyAway,0,flat_o,0
take_off,take_off,H_03_050,imrp,FullyOpen,1.0,0.0,0.0,Open,0.0,AsymmetricalSameHandshape,Curved,0,Hand,Palm,HandAway,1,open_b,0
peel_1,peel_1,H_03_052,i,Bent,0.0,,,Closed,0.0,AsymmetricalDifferentHandshape,Straight,1,Hand,FingerRadial,FingerRadial,1,1,0
mosquito,mosquito,H_03_053,i,Curved,0.0,,,Open,1.0,AsymmetricalDifferentHandshape,Straight,0,Hand,PalmBack,,1,B,0
us,us,H_03_055,im,Flat,0.0,0.0,0.0,Closed,0.0,OneHanded,Curved,0,Body,Clavicle,Clavicle,1,,0
pissed_off,pissed_off,H_03_056,im,Stacked,,,,Open,1.0,OneHanded,Straight,0,Head,CheekNose,HeadAway,1,,1
comfortable,comfortable,H_03_058,imrp,Curved,1.0,0.0,0.0,Open,0.0,SymmetricalOrAlternating,Other,1,Neutral,Neutral,Neutral,1,c,0
sharpen_1,sharpen_1,H_03_060,i,Bent,0.0,,,Open,1.0,AsymmetricalSameHandshape,Straight,1,Hand,FingerBack,HandAway,1,baby_o,0
kindergarten,kindergarten,H_03_062,im,Stacked,0.0,,0.0,Open,1.0,AsymmetricalDifferentHandshape,Straight,1,Hand,HandAway,HandAway,0,B,0
humor,humor,H_03_063,im,Flat,0.0,0.0,0.0,Closed,0.0,OneHanded,Straight,1,Head,CheekNose,HeadAway,1,,0
maple,maple,H_03_064,m,Curved,1.0,,,Open,1.0,OneHanded,,1,Neutral,Neutral,,0,,0
react,react,H_03_065,im,Crossed,0.0,0.0,0.0,Closed,0.0,SymmetricalOrAlternating,Curved,0,Head,Mouth,HeadAway,1,r,0
situation,situation,H_03_066,imrp,FullyClosed,0.0,,0.0,Closed,1.0,AsymmetricalDifferentHandshape,Curved,0,Hand,FingerRadial,HandAway,1,1,1
parallel,parallel,H_03_067,i,FullyOpen,0.0,,,Closed,0.0,AsymmetricalSameHandshape,Curved,0,Neutral,Neutral,Neutral,0,1,1
toy_3,toy_3,H_03_070,i,Bent,0.0,,,Open,1.0,SymmetricalOrAlternating,,1,Neutral,Neutral,,0,baby_o,1
